fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2022-03-31|USD|292700000|1323500000|1030800000|553400000|332400000|340300000||478600000||-39700000|39700000|39700000|1363200000|11100000||137100000|302800000|81000000|39700000|222800000|299200000|342500000|479600000|221800000|EFX
2021-12-31|USD|211100000|1212100000|1001000000|525600000|252200000|343200000||520900000||-38500000|38500000|38500000|1250600000|-75500000||132200000|137300000|15200000|38500000|123000000|82500000|175800000|308000000|122100000|EFX
2021-09-30|USD|238200000|1187900000|949700000|489000000|273200000|344200000||461900000||-35000000|35000000|35000000|1222900000|27200000||116500000|264200000|58800000|35000000|206600000|105300000|299200000|415700000|205400000|EFX
2021-06-30|USD|271100000|1199900000|928800000|483000000|306000000|328400000||446100000||-34900000|34900000|34900000|1234800000|6000000||117400000|276300000|61200000|34900000|215900000|219200000|311200000|428600000|215100000|EFX
2021-03-31|USD|269600000|1176000000|906400000|483300000|306600000|308800000||422600000||-37200000|37200000|37200000|1213200000|-900000||114300000|267200000|65600000|37200000|202900000|212700000|304400000|418700000|201600000|EFX
2020-12-31|USD|1118500000|1118500000|949000000|480900000|169500000|366600000||517300000||-36900000|36900000|36900000|1118500000|-38100000||101500000|91300000|16800000|36900000|169500000|77700000|128200000|229700000|74500000|EFX
2020-09-30|USD|167000000|1030900000|863900000|433200000|204400000|330000000||430900000||-37400000|37400000|37400000|1068300000|139100000||100700000|305300000|76800000|37400000|225000000|277600000|342700000|443400000|228500000|EFX
2020-06-30|USD|130200000|946200000|816000000|409300000|166800000|309900000||411100000||-36600000|36600000|36600000|982800000|-1800000||96800000|128200000|28000000|36600000|96100000|333600000|164800000|261600000|100200000|EFX
2020-03-31|USD|105200000|927200000|822000000|414100000|135900000|316000000||410400000||-30700000|30700000|30700000|957900000|51100000||91900000|154400000|37500000|30700000|114500000|-176900000|185100000|277000000|116900000|EFX
2019-12-31|USD|905800000|905800000|858700000|382800000|47000000|389000000||533300000||-29400000|29400000|29400000|905800000|25400000||86900000|33400000|17600000|29400000|47000000|10800000|62800000|149700000|15800000|EFX
2019-09-30|USD|93600000|847700000|754100000|374500000|121600000|295500000||379600000||-28000000|28000000|28000000|875700000|2900000||84100000|97800000|14000000|28000000|82500000|2200000|125800000|209900000|83800000|EFX
2019-06-30|USD|86200000|852400000|766200000|376900000|113800000|306800000||389300000||-27600000|27600000|27600000|880000000|2800000||82500000|90200000|20700000|27600000|68300000|11700000|117800000|200300000|69500000|EFX
2019-03-31|USD|-257100000|819400000|1076500000|387500000|-617900000|998900000||1076500000||-26700000||26700000|846100000|2100000||77600000|-641300000|-88100000|26700000|-554400000|-514700000|-614600000|-537000000|-553200000|EFX
2018-12-31|USD|789200000|835300000|46100000|372200000|46100000|337900000||46100000||-26500000||26500000|835300000|19500000||79100000|27300000|1700000|26500000|46100000|26700000|53800000|132900000|25600000|EFX
2018-09-30|USD|414100000|807500000|393400000|376700000|64100000|317500000||393400000||-26700000||26700000|834200000|1300000||75900000|37500000|-900000|26700000|39600000|-1600000|64200000|140100000|38400000|EFX
2018-06-30|USD|515800000|850500000|334700000|348600000|193600000|257500000||334700000||-26400000||26400000|876900000|2200000||77200000|168100000|23300000|26400000|146100000|-5200000|194500000|271700000|144800000|EFX
2018-03-31|USD|120300000|841800000|721500000|342800000|144200000|300500000||378700000||-23900000||23900000|865700000|2900000||78200000|120300000|29400000|23900000|93800000|137800000|144200000|222400000|90900000|EFX
2017-12-31|USD|838500000|838500000|647600000|318800000|192600000|253400000||373800000||-22700000||22700000|838500000|2400000||73600000|170100000|-2200000|22700000|190900000|174400000|192800000|266400000|172300000|EFX
2017-09-30|USD|131500000|813400000|681900000|297300000|154700000|310400000||384600000||-21400000||21400000|834800000|2700000||72400000|131800000|35500000|21400000|100500000|191200000|153200000|225600000|96300000|EFX
2017-06-30|USD|239500000|832100000|592600000|293700000|265900000|226600000||298900000||-24600000||24600000|856700000|1300000||70500000|240400000|75000000|24600000|167600000|175000000|265000000|335500000|165400000|EFX
2017-03-31|USD|192600000|808000000|615400000|300800000|218600000|241500000||314600000||-24200000||24200000|832200000|1300000||71300000|193600000|40300000|24200000|155400000|269200000|217800000|289100000|153300000|EFX
2016-12-31|USD|801100000|801100000|597200000|286300000|203900000|232800000||358100000||-24100000||24100000||-4400000||70900000|180800000|57800000|24100000|203900000|124800000|204900000|275800000|123000000|EFX
2016-09-30|USD|187800000|779800000|592000000|288000000|212100000|233400000||304000000||-24300000||24300000||2400000||70600000|188100000|55300000|24300000|134900000|217300000|212400000|283000000|132800000|EFX
2016-06-30|USD|202100000|787700000|585600000|285800000|225700000|231600000||299800000||-23600000||23600000||-800000||68200000|199200000|68300000|23600000|133000000|66100000|222800000|291000000|130900000|EFX
2016-03-31|USD|156100000|708200000|552100000|253300000|176200000|243100000||298800000||-20100000||20100000||-2100000||55700000|153700000|51600000|20100000|102400000|202600000|173800000|229500000|102100000|EFX
2015-12-31|USD|666300000|666300000|489400000|225000000|176900000|215500000||318700000||-15700000||15700000||6500000||48900000|166600000|54700000|15700000|107300000|113000000|182300000|231200000|111900000|EFX
2015-09-30|USD|158500000|651600000|493100000|226500000|174300000|217200000||266600000||-15800000||15800000||14400000||49400000|171100000|53200000|15800000|119700000|86900000|186900000|236300000|117900000|EFX
2015-06-30|USD|172300000|661900000|489600000|220800000|188500000|218700000||268800000||-16200000||16200000||-13900000||50100000|156900000|45900000|16200000|112500000|131700000|173100000|223200000|111000000|EFX
2015-03-31|USD|138100000|635700000|497600000|215100000|154200000|232900000||282500000||-16100000||16100000||-500000||49600000|136300000|48000000|16100000|89600000|52300000|152400000|202000000|88300000|EFX
2014-12-31|USD|624600000|624600000|459400000|214600000|165200000|195000000||315900000||-16800000||16800000|-7000000|3000000||49800000|150600000|52600000|16800000|98000000|98000000|167400000|217200000|98000000|EFX
2014-09-30|USD|136600000|596300000|459700000|211000000|153700000|197800000||248700000||-17100000||17100000|0|3200000||50900000|138100000|45400000|17100000|92700000|57000000|155200000|206100000|92700000|EFX
2014-06-30|USD|150000000|596500000|446500000|212300000|167400000|183500000||234200000||-17400000||17400000|0|500000||50700000|148800000|56000000|17400000|92800000|109800000|166200000|216900000|92800000|EFX
2014-03-31|USD|134600000|567200000|432600000|206800000|151900000|175400000||243100000||-17300000||17300000|0|-2100000||50400000|130100000|46200000|17300000|83900000|165700000|147400000|197800000|83900000|EFX
2013-12-31|USD|578500000|578500000|424400000|197200000|154100000|181400000||247400000||-17400000||17400000|-6800000|-14800000||45800000|119700000|43000000|17400000|76700000|76700000|137100000|182900000|76700000|EFX
2013-09-30|USD|132500000|554500000|422000000|196800000|150000000|173400000||242700000||-17500000||17500000|0|600000||51800000|130500000|47000000|17500000|84100000|173800000|148000000|199800000|83500000|EFX
2013-06-30|USD|140500000|569300000|428800000|198200000|158100000|186500000||248200000||-17600000||17600000|600000|3500000||44100000|142200000|51700000|17600000|90500000|174100000|159800000|203900000|90500000|EFX
2013-03-31|USD|149700000|567200000|417500000|195100000|149000000|174500000||221700000||-17700000||17700000|18400000|100000||47900000|148300000|47200000|17700000|82100000|197200000|166000000|213900000|101100000|EFX
2012-12-31|USD|558100000|558100000|462900000|215800000|92200000|205400000||263500000||-14300000||14300000|0|1300000||39700000|79100000|32800000|14300000|44500000|46300000|93400000|133100000|46300000|EFX
2012-09-30|USD|118500000|530300000|411800000|208500000|130500000|161500000||216900000||-13600000||13600000|0|1900000||39600000|117600000|39700000|13600000|76900000|176000000|131200000|170800000|77900000|EFX
2012-06-30|USD|119000000|522100000|403100000|203600000|129000000|156800000||213200000||-13700000||13700000|0|2200000||40300000|117400000|41000000|13700000|74100000|137300000|131100000|171400000|76400000|EFX
2012-03-31|USD|115200000|508900000|393700000|201200000|128300000|149800000||206300000||-13800000||13800000|0|1300000||40400000|114000000|42500000|13800000|71100000|83200000|127800000|168200000|71500000|EFX
2011-12-31|USD|509700000|509700000|384000000|194200000|125700000|146900000||205000000||-13900000||13900000|1500000|1100000||36300000|111800000|37400000|13900000|71500000|74400000|125700000|162000000|74400000|EFX
2011-09-30|USD|107900000|476700000|368800000|189100000|121600000|141700000||193400000||-13700000||13700000|0|600000||40500000|105900000|39200000|13700000|66700000|36500000|119600000|160100000|66700000|EFX
2011-06-30|USD|100900000|473400000|372500000|190900000|114600000|142700000||195300000||-13700000||13700000||-9600000||41100000|88700000|54200000|13700000|34500000|65600000|102400000|143500000|34500000|EFX
2011-03-31|USD|95300000|458800000|363500000|194300000|109100000|128800000||183000000||-13800000||13800000||300000||42700000|93600000|36300000|13800000|57300000|130000000|107400000|150100000|57300000|EFX
2010-12-31|USD|482000000|482000000|372300000|193300000|109700000|137000000||219900000||-13800000||13800000|0|300000||42000000|94400000|32200000|13800000|62200000|62200000|108200000|150200000|62200000|EFX
2010-09-30|USD|96200000|459800000|363600000|188200000|110200000|134000000||189400000||-14000000||14000000|39400000|700000||41400000|109800000|33300000|14000000|61300000|178000000|123800000|165200000|76500000|EFX
2010-06-30|USD|91700000|446600000|354900000|188300000|105800000|126900000||180700000||-14100000||14100000||800000||39700000|104000000|32700000|14100000|57700000|142400000|118100000|157800000|71300000|EFX
2010-03-31|USD|93500000|447100000|353600000|200300000|104300000|109500000||167500000||-14200000||14200000||-500000||39100000|90400000|33700000|14200000|54000000|103800000|104600000|143700000|56700000|EFX
2009-12-31|USD|268200000|464300000|196100000|196100000|82900000|130200000||176800000||||14100000||400000||38500000|67500000|7300000||54900000||81600000|120100000|60200000|EFX
2009-09-30|USD|261600000|451900000|190300000|190300000|100000000|111200000||155300000||||14100000||200000||36300000|88400000|28700000||55700000||102500000|138800000|59700000|EFX
2009-06-30|USD|263000000|455400000|192400000|192400000|102000000|111100000||155800000||||14500000||3100000||35600000|92300000|32700000||56400000||106800000|142400000|59600000|EFX
2009-03-31|USD|263900000|452900000|189000000|189000000|101000000|122000000||161200000||||14300000||2400000||36600000|88500000|34100000||53300000||102800000|139400000|54400000|EFX
